Title, artists_name, cost, approximate_estimate, material, size, country, period, style, genre
Various Subjects,YU FEI'AN,"HKD 945,000","HKD 200,000 - 300,000",,24.5 x 67 cm,Китай,1888-1959,Traditional Chinese Style,Traditional Chinese Painting
Flowers and Rock / Calligraphy,WU HUFAN,"HKD 100,800","HKD 80,000 - 120,000",,19.5 x 53.5 cm,Китай,1894-1968,Traditional Chinese Style,Traditional Chinese Painting
Longevity,QI BAISHI,,"HKD 100,000 - 150,000",,20.5 x 54.5 cm,Китай,1863-1957,Traditional Chinese Style,Traditional Chinese Painting
Flowers and insects,QI BAISHI,"HKD 478,800","HKD 400,000 - 600,000",,18.5 x 52 cm,Китай,1863-1957,Traditional Chinese Style,Traditional Chinese Painting
Sailing / Plum Blossoms,LU YANSHAO,"HKD 1,071,000","HKD 1,200,000 - 1,800,000",,18 x 65.6 cm,Китай,1909-1993,Traditional Chinese Style,Traditional Chinese Painting
Landscapes / Calligraphy,QI KUN,"HKD 69,300","HKD 50,000 - 70,000",,19 x 49 cm,Китай,1901-1944,Traditional Chinese Style,Traditional Chinese Painting
Boating in Autumn River / Calligraphy,PU RU,"HKD 277,200","HKD 180,000 - 280,000",,17.6 x 43.5 cm,Китай,1896-1963,Traditional Chinese Style,Traditional Chinese Painting
Scholars by Riverside / Calligraphy,ZHU MEICUN,"HKD 60,480","HKD 30,000 - 50,000",,18.3 x 46.5 cm,Китай,1911-1993,Traditional Chinese Style,Traditional Chinese Painting
Landscape / Calligraphy,XIE ZHILIU,,"HKD 300,000 - 500,000",,19.5 x 49.3 cm,Китай,1910-1997,Traditional Chinese Style,Traditional Chinese Painting
Landscape,HUANG BINHONG,,"HKD 1,000,000 - 2,000,000",,70.9 x 32.7 cm,Китай,1864-1955,Traditional Chinese Style,Traditional Chinese Painting
Autumn River,XIE ZHILIU,"HKD 693,000","HKD 500,000 - 700,000",,39.2 x 27.4 cm,Китай,1910-1997,Traditional Chinese Style,Traditional Chinese Painting
Lotus,ZHANG DAQIAN,"HKD 1,386,000","HKD 1,500,000 - 2,500,000",,135.7 x 69.5 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
The Canglong Ridge of the Hua Mountains,WU GUANZHONG,"HKD 277,200","HKD 300,000 - 500,000",,39.5 x 28.3 cm,Китай,1919-2010,Traditional Chinese Style,Traditional Chinese Painting
Huangshan - Fairy Points the Way,WU GUANZHONG,"HKD 1,071,000","HKD 1,200,000 - 1,800,000",,71.1 x 47.2 cm,Китай,1919-2010,Traditional Chinese Style,Traditional Chinese Painting
Chrysanthemums,LIN FENGMIAN,,"HKD 2,600,000 - 3,500,000",,67 x 63 cm,Китай,1900-1991,Traditional Chinese Style,Traditional Chinese Painting
Lady Playing Qin,LIN FENGMIAN,"HKD 1,260,000","HKD 1,200,000 - 2,200,000",,68 x 65.1 cm,Китай,1900-1991,Traditional Chinese Style,Traditional Chinese Painting
Small Village in the Forest,LIN FENGMIAN,"HKD 3,150,000","HKD 1,500,000 - 2,500,000",,67.7 x 68.6 cm,Китай,1900-1991,Traditional Chinese Style,Traditional Chinese Painting
Sunrise over Guilin,WU GUANZHONG,"HKD 12,475,000","HKD 4,500,000 - 6,500,000",,35.3 x 54.1 cm,Китай,1919-2010,Traditional Chinese Style,Traditional Chinese Painting
Scenery at the Factory,GUAN LIANG,,"HKD 300,000 - 500,000",,28 x 35.5 cm,Китай,1900-1986,Traditional Chinese Style,Traditional Chinese Painting
Fish IV,DING YANYONG,"HKD 1,386,000","HKD 500,000 - 700,000",,29.7 x 39.8 cm,Китай,1902-1978,Traditional Chinese Style,Traditional Chinese Painting
Escape from Hong Kong,YE QIANYU,"HKD 730,800","HKD 400,000 - 600,000",,27.5 x 22 cm,Китай,1907-1995,Traditional Chinese Style,Traditional Chinese Painting
"Banana Plant, Rock, Bird and Bamboo",ZHANG DAQIAN,"HKD 403,200","HKD 300,000 - 500,000",,122.2 x 45.2 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Plantain Lily,ZHANG DAQIAN,"HKD 214,200","HKD 80,000 - 150,000",,43.8 x 33 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Mount Huang,ZHANG SHANZI,"HKD 88,200","HKD 60,000 - 80,000",,65.5 x 32.5 cm,Китай,1882-1940,Traditional Chinese Style,Traditional Chinese Painting
Five Colour Lotuses,YU FEI'AN,"HKD 2,016,000","HKD 1,000,000 - 2,000,000",,133.2 x 69.5 cm,Китай,1888-1959,Traditional Chinese Style,Traditional Chinese Painting
Visiting Friends,CHEN SHAOMEI,"HKD 403,200","HKD 200,000 - 300,000",,91.6 x 9.4 cm,Китай,1909-1954,Traditional Chinese Style,Traditional Chinese Painting
Verdant Mountains,HUANG BINHONG,"HKD 1,512,000","HKD 1,000,000 - 2,000,000",,59.5 x 47 cm,Китай,1864-1955,Traditional Chinese Style,Traditional Chinese Painting
Landscapes of Anhui,HUANG BINHONG,"HKD 478,800","HKD 400,000 - 600,000",,23.2 x 21.5 cm,Китай,1864-1955,Traditional Chinese Style,Traditional Chinese Painting
Landscapes after Old Masters,WU HUFAN,"HKD 478,800","HKD 80,000 - 100,000",,22.8 x 30 cm,Китай,1894-1968,Traditional Chinese Style,Traditional Chinese Painting
Calligraphy,PAN TIANSHOU,"HKD 151,200","HKD 80,000 - 120,000",,24.4 x 32.2 cm,Китай,1897-1971,Traditional Chinese Style,Traditional Chinese Painting
Landscape of Mount Yandang,LU YANSHAO,"HKD 945,000","HKD 700,000 - 1,000,000",,96.5 x 35 cm,Китай,1909-1993,Traditional Chinese Style,Traditional Chinese Painting
Opera Figures,GUAN LIANG,"HKD 113,400","HKD 60,000 - 80,000",,33.3 x 69 cm,Китай,1900-1986,Traditional Chinese Style,Traditional Chinese Painting
Dancing Lady,PANG XUNQIN,"HKD 94,500","HKD 60,000 - 80,000",,32.8 x 38 cm,Китай,1906-1985,Traditional Chinese Style,Traditional Chinese Painting
Landscape,CHEN WEN HSI,"HKD 693,000","HKD 150,000 - 250,000",,176 x 95.6 cm,Китай,1906-1991,Traditional Chinese Style,Traditional Chinese Painting
Plum Blossoms,HUANG YONGYU,"HKD 378,000","HKD 100,000 - 200,000",,201.5 x 38.5 cm,Китай,1924-2023,Traditional Chinese Style,Traditional Chinese Painting
The Happy Prince in Retirement,HUANG YONGYU,"HKD 1,260,000","HKD 1,000,000 - 1,500,000",,99 x 99 cm,Китай,1924-2023,Traditional Chinese Style,Traditional Chinese Painting
Moon Over Lake,HUANG YONGYU,,"HKD 800,000 - 1,600,000",,144 x 150 cm,Китай,1924-2023,Traditional Chinese Style,Traditional Chinese Painting
Darwin,WEI XIAORONG,"HKD 478,800","HKD 400,000 - 600,000",,69 x 34.5 cm,Китай,B. 1957,Traditional Chinese Style,Traditional Chinese Painting
Opera Figures,GUAN LIANG,"HKD 214,200","HKD 100,000 - 200,000",,17.1 x 16.1 cm,Китай,1900-1986,Traditional Chinese Style,Traditional Chinese Painting
Flowers and Birds,WANG XUETAO,"HKD 176,400","HKD 100,000 - 150,000",,36 x 26 cm,Китай,1903-1984,Traditional Chinese Style,Traditional Chinese Painting
Landscapes,QI GONG,"HKD 151,200","HKD 150,000 - 200,000",,31 x 20 cm,Китай,1912-2005,Traditional Chinese Style,Traditional Chinese Painting
Viewing Mountains,LI KERAN,"HKD 630,000","HKD 300,000 - 500,000",,51 x 33.5 cm,Китай,1907-1989,Traditional Chinese Style,Traditional Chinese Painting
Portrait of A Lady,JIANG ZHAOHE,"HKD 504,000","HKD 400,000 - 600,000",,59 x 42.5 cm,Китай,1904-1986,Traditional Chinese Style,Traditional Chinese Painting
Six-character Calligraphic Couplet in Running Script,ZHANG DAQIAN,"HKD 277,200","HKD 80,000 - 160,000",,100.1 x 19.1 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Five-characher Calligraphic Couplet in Seal Script,QI BAISHI,"HKD 2,016,000","HKD 400,000 - 800,000",,135.5 x 33.7 cm,Китай,1863-1957,Traditional Chinese Style,Traditional Chinese Painting
Eight-character Calligraphic Couplet in Running Script,BAI JIAO,"HKD 52,920","HKD 20,000 - 40,000",,138.4 x 22.1 cm,Китай,1907-1969,Traditional Chinese Style,Traditional Chinese Painting
"Plum Blossoms, Bamboo and Rock",MEI LANFANG,"HKD 69,300","HKD 10,000 - 20,000",,68 x 41 cm,Китай,1894-1961,Traditional Chinese Style,Traditional Chinese Painting
Versing in River,ZHANG DAQIAN,"HKD 1,134,000","HKD 600,000 - 800,000",,32.4 x 68 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Eight-character Calligraphic Couplet in Clerical Script,TAI JINGNONG,"HKD 40,320","HKD 30,000 - 50,000",,66.8 x 15.9 cm,Китай,1903-1990,Traditional Chinese Style,Traditional Chinese Painting
Landscape in the Style of Shitao,ZHANG DAQIAN,"HKD 504,000","HKD 300,000 - 500,000",,133 x 51.2 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Boating under Cliff in the Style of Shitao,ZHANG DAQIAN,"HKD 1,033,200","HKD 600,000 - 1,600,000",,151.5 x 71.3 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Calligraphic Couplet,ZHANG DAQIAN,,"HKD 200,000 - 300,000",,137 x 35 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Landscape / Letter to Ruan Yicheng,ZHANG DAQIAN,,"HKD 650,000 - 850,000",,39 x 30 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Portrait of Bodhisattva,ZHANG DAQIAN,"HKD 4,788,000","HKD 3,800,000 - 5,800,000",,112.2 x 65.2 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Elegant Lotus,ZHANG DAQIAN,"HKD 1,386,000","HKD 1,000,000 - 1,500,000",,99.1 x 33.8 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Persimmons,ZHANG DAQIAN,"HKD 1,071,000","HKD 400,000 - 500,000",,69.4 x 41 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Scholar and Chrysanthemums,ZHANG DAQIAN,,"HKD 500,000 - 700,000",,69.5 x 39.1 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Strolling in Mountains,ZHANG DAQIAN,"HKD 1,071,000","HKD 800,000 - 1,200,000",,90.9 x 49 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Misty Landscape by the Lake,ZHANG DAQIAN,"HKD 3,528,000","HKD 2,500,000 - 3,000,000",,40.2 x 84.8 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Scholar and Attendant Carrying a Qin,ZHANG DAQIAN,"HKD 2,394,000","HKD 1,500,000 - 2,000,000",,133.1 x 67.3 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Symbols of Longevity,ZHANG DAQIAN,"HKD 252,000","HKD 200,000 - 300,000",,47 x 64 cm,Китай,1899-1983,Traditional Chinese Style,Traditional Chinese Painting
Apricot Blossom and Parrot,YU FEI'AN,,"HKD 200,000 - 300,000",,27 x 24 cm,Китай,1888-1959,Traditional Chinese Style,Traditional Chinese Painting
Viewing Waterfall,HUANG JUNBI,"HKD 81,900","HKD 80,000 - 120,000",,53 x 89.5 cm,Китай,1898-1991,Traditional Chinese Style,Traditional Chinese Painting
Viewing Waterfall in Autumn Mountains,HUANG JUNBI,,"HKD 400,000 - 600,000",,91 x 182.5 cm,Китай,1898-1991,Traditional Chinese Style,Traditional Chinese Painting
Viewing Wild Geese Return,PU RU,"HKD 327,600","HKD 300,000 - 500,000",,24.7 x 24.7 cm,Китай,1896-1963,Traditional Chinese Style,Traditional Chinese Painting
Mountain Cloud,PU RU,"HKD 327,600","HKD 300,000 - 500,000",,24.9 x 24.5 cm,Китай,1896-1963,Traditional Chinese Style,Traditional Chinese Painting
Calligraphy in Regular Script / Autumn Scenery,PU RU,"HKD 945,000","HKD 200,000 - 300,000",,21.6 x 77.8 cm,Китай,1896-1963,Traditional Chinese Style,Traditional Chinese Painting
Blossoms,ZHANG SHANZI,,"HKD 300,000 - 400,000",,19.8 x 260 cm,Китай,1882-1940,Traditional Chinese Style,Traditional Chinese Painting
Horse Scratching,XU BEIHONG,"HKD 5,670,000","HKD 3,000,000 - 5,000,000",,128.5 x 75.3 cm,Китай,1895-1953,Traditional Chinese Style,Traditional Chinese Painting
Standing Horse,XU BEIHONG,"HKD 4,662,000","HKD 2,200,000 - 3,200,000",,112 x 54.3 cm,Китай,1895-1953,Traditional Chinese Style,Traditional Chinese Painting
Two Sparrows and Reeds,XU BEIHONG,"HKD 378,000","HKD 280,000 - 380,000",,44 x 55.5 cm,Китай,1895-1953,Traditional Chinese Style,Traditional Chinese Painting
Magpie by Red Leaves,XU BEIHONG,"HKD 882,000","HKD 700,000 - 900,000",,79 x 33.7 cm,Китай,1895-1953,Traditional Chinese Style,Traditional Chinese Painting
Appreciating Paintings under Trees,FU BAOSHI,"HKD 4,410,000","HKD 3,000,000 - 5,000,000",,47.3 x 66.3 cm,Китай,1904-1965,Traditional Chinese Style,Traditional Chinese Painting
Reciting Poetry by the Willow Bank,FU BAOSHI,,"HKD 1,800,000 - 2,800,000",,47.7 x 49 cm,Китай,1904-1965,Traditional Chinese Style,Traditional Chinese Painting
Evening on the Lake,RAO ZONGYI,"HKD 100,800","HKD 80,000 - 120,000",,136.1 x 34.7 cm,Китай,1917-2018,Traditional Chinese Style,Traditional Chinese Painting
Bamboo and Rock,WU CHANGSHUO,"HKD 277,200","HKD 260,000 - 360,000",,164.1 x 40.1 cm,Китай,1844-1927,Traditional Chinese Style,Traditional Chinese Painting
Flower and Calligraphy,WU CHANGSHUO,"HKD 1,386,000","HKD 600,000 - 1,000,000",,24.7 x 31.3 cm,Китай,1844-1927,Traditional Chinese Style,Traditional Chinese Painting
Calligraphy,HONGYI,"HKD 1,386,000","HKD 300,000 - 500,000",,27.5 x 32.5 cm,Китай,1880-1942,Traditional Chinese Style,Traditional Chinese Painting
Scholars Boating,SU MANSHU,,"HKD 80,000 - 120,000",,55.4 x 30 cm,Китай,1884-1918,Traditional Chinese Style,Traditional Chinese Painting
Buddhas and Lady,LÜ FENGZI,"HKD 327,600","HKD 100,000 - 150,000",,85 x 33.5 cm,Китай,1886-1959,Traditional Chinese Style,Traditional Chinese Painting
Four Arhats,LÜ FENGZI,,"HKD 150,000 - 250,000",,69 x 116 cm,Китай,1886-1959,Traditional Chinese Style,Traditional Chinese Painting
Pines and Clouds on Mount Huang,SONG WENZHI,"HKD 81,900","HKD 60,000 - 80,000",,70.7 x 44.4 cm,Китай,1919-1999,Traditional Chinese Style,Traditional Chinese Painting
Waterfall by the Old Pine,WEI ZIXI,"HKD 60,480","HKD 30,000 - 50,000",,90.6 x 48 cm,Китай,1915-2002,Traditional Chinese Style,Traditional Chinese Painting
Mountains and Running Streams,LU YANSHAO,"HKD 327,600","HKD 200,000 - 300,000",,67.3 x 45.7 cm,Китай,1909-1993,Traditional Chinese Style,Traditional Chinese Painting
Calligraphy in Running Script,HONGYI,"HKD 126,000","HKD 100,000 - 200,000",,39 x 33.5 cm,Китай,1880-1942,Traditional Chinese Style,Traditional Chinese Painting
Calligraphy,SHEN YINMO,"HKD 60,480","HKD 60,000 - 80,000",,33.8 x 97.8 cm,Китай,1887-1971,Traditional Chinese Style,Traditional Chinese Painting
Calligraphy in Running Script,SHEN YINMO,"HKD 189,000","HKD 80,000 - 120,000",,130 x 33 cm,Китай,1887-1971,Traditional Chinese Style,Traditional Chinese Painting
Calligraphic Couplet,SHEN ZENGZHI,"HKD 81,900","HKD 60,000 - 80,000",,143 x 34 cm,Китай,1850-1922,Traditional Chinese Style,Traditional Chinese Painting
Rubbing of the Stone Sculpture of the Heavenly Guardian,JI CHONGJIAN,"HKD 252,000","HKD 80,000 - 120,000",,122 x 58.5 cm,Китай,B. 1955,Traditional Chinese Style,Traditional Chinese Painting
Dancing Cranes,LIN HUKUI,"HKD 504,000","HKD 260,000 - 350,000",,96 x 126 cm,Китай,"LAM WU-FUI, B. 1945",Traditional Chinese Style,Traditional Chinese Painting
Leopard on Pine,LIU MENGKUAN,"HKD 214,200","HKD 160,000 - 260,000",,84 x 187 cm,Китай,B. 1950,Traditional Chinese Style,Traditional Chinese Painting
View from Clear Water Bay Studio,WONG HAU KWEI,"HKD 81,900","HKD 70,000 - 90,000",,58 x 140 cm,Китай,"HUANG XIAOKUI, B. 1946",Traditional Chinese Style,Traditional Chinese Painting
Untrammeled Vision of Lotus (7),LOUIS MAK,"HKD 119,700","HKD 80,000 - 120,000",,95 x 60 cm,Китай,"MAI LUOWU, B. 1946",Traditional Chinese Style,Traditional Chinese Painting
Lotus at the Window,SIU FUN KEE,"HKD 100,800","HKD 80,000 - 120,000",,76.5 x 56.5 cm,Китай,"XIAO FENQI, B.1975",Traditional Chinese Style,Traditional Chinese Painting
Self-Portrait in a Fur Cap: Bust,REMBRANDT HARMENSZ. VAN RIJN,"GBP 23,940","GBP 12,000 - 18,000",,Sheet 62 x 52 mm.,,1606-1669,Graphic,Portrait
"Self-Portrait open-mouthed, as if shouting: Bust",REMBRANDT HARMENSZ. VAN RIJN,"GBP 13,860","GBP 12,000 - 18,000",,Sheet 79 x 67 mm.,,1606-1669,Graphic,Portrait
Self-Portrait with long bushy Hair: Head only,REMBRANDT HARMENSZ. VAN RIJN,"GBP 16,380","GBP 10,000 - 15,000",,Sheet 62 x 55 mm.,,1606-1669,Graphic,Portrait
Self-Portrait in a Cap and dark Cloak: Bust,REMBRANDT HARMENSZ. VAN RIJN  AND WORKSHOP,"GBP 13,860","GBP 3,000 - 5,000",,Sheet 70 x 64 mm.,,1606-1669,Graphic,Portrait
The Artist's Mother with her Hand on her Chest,REMBRANDT HARMENSZ. VAN RIJN,"GBP 6,930","GBP 3,000 - 5,000",,Sheet 94 x 69 mm.,,1606-1669,Graphic,Portrait
Self-Portrait in a Cap and Scarf with the Face dark: Bust,REMBRANDT HARMENSZ. VAN RIJN,"GBP 56,700","GBP 12,000 - 18,000",,Sheet 142 x 114 mm.,,1606-1669,Graphic,Portrait
"The Artist's Mother in a Cloth Headdress, looking down: Head only",REMBRANDT HARMENSZ. VAN RIJN,"GBP 8,820","GBP 3,000 - 5,000",,Sheet 42 x 40 mm.,,1606-1669,Graphic,Portrait
"Three Heads of Women, one lightly etched",REMBRANDT HARMENSZ. VAN RIJN,"GBP 17,640","GBP 12,000 - 18,000",,Sheet 129 x 104 mm.,,1606-1669,Graphic,Portrait
Saint Catherine ('The Little Jewish Bride'),REMBRANDT HARMENSZ. VAN RIJN,"GBP 21,420","GBP 12,000 - 18,000",,Sheet 113 x 80 mm.,,1606-1669,Graphic,Portrait
'The Great Jewish Bride',REMBRANDT HARMENSZ. VAN RIJN,"GBP 40,320","GBP 15,000 - 25,000",,Plate &amp; Sheet 220 x 170 mm.,,1606-1669,Graphic,Portrait
Self-Portrait in a flat Cap and embroidered Dress,REMBRANDT HARMENSZ. VAN RIJN,"GBP 63,000","GBP 18,000 - 25,000",,Sheet 101 x 68 mm.,,1606-1669,Graphic,Portrait
Sick Woman with a large white Headdress (Saskia),REMBRANDT HARMENSZ. VAN RIJN,"GBP 5,670","GBP 6,000 - 8,000",,Sheet 65 x 56 mm.,,1606-1669,Graphic,Portrait
Medea: or The Marriage of Jason and Creusa,REMBRANDT HARMENSZ. VAN RIJN,"GBP 69,300","GBP 35,000 - 50,000",,Sheet 236 x 168 mm.,,1606-1669,Graphic,Portrait
Abraham entertaining the Angels,REMBRANDT HARMENSZ. VAN RIJN,"GBP 151,200","GBP 60,000 - 80,000",,Sheet 163 x 133 mm.,,1606-1669,Graphic,Portrait
Joseph telling his Dreams,REMBRANDT HARMENSZ. VAN RIJN,"GBP 37,800","GBP 15,000 - 25,000",,Sheet 115 x 88 mm.,,1606-1669,Graphic,Portrait
Joseph and Potiphar's Wife,REMBRANDT HARMENSZ. VAN RIJN,"GBP 11,970","GBP 3,000 - 5,000",,Sheet 96 x 120 mm.,,1606-1669,Graphic,Portrait
The Blindness of Tobit: the larger Plate,REMBRANDT HARMENSZ. VAN RIJN,"GBP 40,320","GBP 15,000 - 25,000",,Sheet 168 x 134 mm.,,1606-1669,Graphic,Portrait
The Flight into Egypt: small Plate,REMBRANDT HARMENSZ. VAN RIJN,"GBP 27,720","GBP 5,000 - 7,000",,Sheet 94 x 67 mm.,,1606-1669,Graphic,Portrait
The Flight into Egypt: a Night Piece,REMBRANDT HARMENSZ. VAN RIJN,"GBP 119,700","GBP 30,000 - 50,000",,Sheet 129 x 111 mm.,,1606-1669,Graphic,Portrait
The Circumcision in the Stable,REMBRANDT HARMENSZ. VAN RIJN,"GBP 22,680","GBP 6,000 - 8,000",,Sheet 106 x 148 mm.,,1606-1669,Graphic,Portrait
The Circumcision in the Stable,REMBRANDT HARMENSZ. VAN RIJN,"GBP 17,640","GBP 3,000 - 5,000",,Sheet 97 x 145 mm.,,1606-1669,Graphic,Portrait
The Holy Family,REMBRANDT HARMENSZ. VAN RIJN,"GBP 10,080","GBP 8,000 - 12,000",,Sheet 102 x 76 mm.,,1606-1669,Graphic,Portrait
The Presentation in the Temple: Oblong Print,REMBRANDT HARMENSZ. VAN RIJN,"GBP 11,340","GBP 3,000 - 5,000",,Sheet 227 x 306 mm.,,1606-1669,Graphic,Portrait
Christ disputing with the Doctors: a Sketch,REMBRANDT HARMENSZ. VAN RIJN,"GBP 25,200","GBP 25,000 - 35,000",,Sheet 132 x 221 mm.,,1606-1669,Graphic,Portrait
Christ returning from the Temple with his Parents,REMBRANDT HARMENSZ. VAN RIJN,"GBP 44,100","GBP 40,000 - 60,000",,Sheet 104 x 152 mm.,,1606-1669,Graphic,Portrait
Christ and the Woman of Samaria: an arched Print,REMBRANDT HARMENSZ. VAN RIJN,"GBP 157,500","GBP 30,000 - 50,000",,Plate &amp; Sheet 124 x 161 mm.,,1606-1669,Graphic,Portrait
Christ before Pilate: large Plate,REMBRANDT HARMENSZ. VAN RIJN,"GBP 110,880","GBP 25,000 - 35,000",,Sheet 549 x 447 mm.,,1606-1669,Graphic,Portrait
Christ presented to the People ('Ecce Homo'),REMBRANDT HARMENSZ. VAN RIJN,"GBP 126,000","GBP 100,000 - 150,000",,Sheet 363 x 455 mm.,,1606-1669,Graphic,Portrait
Christ crucified between the two Thieves: 'The Three Crosses',REMBRANDT HARMENSZ. VAN RIJN,"GBP 1,250,000","GBP 800,000 - 1,200,000",,Plate &amp; Sheet 387 x 451 mm.,,1606-1669,Graphic,Portrait
Christ crucified between the two Thieves: an oval Plate,REMBRANDT HARMENSZ. VAN RIJN,"GBP 16,380","GBP 8,000 - 12,000",,Sheet 140 x 102 mm.,,1606-1669,Graphic,Portrait
The Descent from the Cross: a Sketch,REMBRANDT HARMENSZ. VAN RIJN,"GBP 44,100","GBP 12,000 - 18,000",,Sheet 151 x 119 mm.,,1606-1669,Graphic,Portrait
The Entombment,REMBRANDT HARMENSZ. VAN RIJN,"GBP 428,400","GBP 100,000 - 150,000",,Plate &amp; Sheet 213 x 163 mm.,,1606-1669,Graphic,Portrait
Peter and John healing the Cripple at the Gate of the Temple,REMBRANDT HARMENSZ. VAN RIJN,"GBP 27,720","GBP 25,000 - 35,000",,Sheet 181 x 219 mm.,,1606-1669,Graphic,Portrait
The Death of the Virgin,REMBRANDT HARMENSZ. VAN RIJN,"GBP 69,300","GBP 15,000 - 25,000",,Sheet 421 x 323 mm.,,1606-1669,Graphic,Portrait
