название,имя_художника,стоимость,примерная_оценка,материал,размер,страна,период,стиль,жанр
Untitled,HANS HOFMANN,"USD 1,764","USD 3,000 - 5,000",N/A,27.9 x 21.6 cm.,Germany,1880-1966,Contemporary Art,Modern Art
Head 4,WILLIAM TURNBULL,"USD 44,100","USD 20,000 - 30,000",bronze,N/A,Unknown,1922-2012,Contemporary Art,Modern Art
Young Man Stealing; Untitled [Two Works],MANUEL NERI,"USD 7,560","USD 12,000 - 18,000",N/A,61.6 x 62.9 cm.,Unknown,1930-2021,Contemporary Art,Modern Art
Sonnenblatt I,BERNHARD HEILIGER,"USD 52,920","USD 6,000 - 8,000",bronze,N/A,Unknown,1915-1995,Contemporary Art,Modern Art
Swimmer; Swimmer Floating in a Pool [Two Works],PAUL WONNER,"USD 10,710","USD 6,000 - 8,000",watercolor,43.2 x 35.6 cm.,Unknown,1920-2008,Contemporary Art,Modern Art
Untitled 1,MANUEL NERI,"USD 18,900","USD 20,000 - 30,000",bronze,N/A,Unknown,B. 1930,Contemporary Art,Modern Art
Jazz Ensemble- Afternoon Music,JAMES WEEKS,"USD 8,190","USD 5,000 - 7,000",acrylic,137.2 x 171.5 cm.,Unknown,1922-1998,Contemporary Art,Modern Art
I Am Not,JACK ROTH,"USD 8,190","USD 5,000 - 7,000",acrylic,227.3 x 167.6 cm.,Unknown,1927-2004,Contemporary Art,Modern Art
Um Mal Menor (A Smaller Misfortune),JULIÃO SARMENTO,"USD 7,560","USD 8,000 - 12,000",acrylic,66 x 53.3 cm.,Unknown,1948-2021,Contemporary Art,Modern Art
Tee Pee,JAUNE QUICK-TO-SEE SMITH,"USD 2,268","USD 3,000 - 5,000",acrylic,12.7 x 12.7 cm.,Unknown,B. 1940,Contemporary Art,Modern Art
Untitled (Ornaments Are Extra Lucky),RAY JOHNSON,,"USD 5,000 - 7,000",gouache,19.1 x 12.7 cm.,Unknown,1927-1995,Contemporary Art,Modern Art
Sioux,JOHN NIETO,"USD 27,720","USD 8,000 - 12,000",acrylic,91.4 x 91.4 cm.,Unknown,1936-2018,Contemporary Art,Modern Art
Untitled [Two Works],WILLEM DE KOONING,"USD 10,080","USD 10,000 - 15,000",N/A,47.6 x 60 cm.,Unknown,1904-1997,Contemporary Art,Modern Art
C-60-12,AL HELD,,"USD 4,000 - 6,000",N/A,48.3 x 61 cm.,Unknown,1928-2005,Contemporary Art,Modern Art
"Casalee Group, S.A. Rhodesia-Luxembourg-Belgium c. 1976-90 ""dealers in tobacco, armaments, and landmines""",MARK LOMBARDI,"USD 8,190","USD 8,000 - 12,000",N/A,22.9 x 30.5 cm.,Unknown,1951-2000,Contemporary Art,Modern Art
No Title (The peremptory shout...),RAYMOND PETTIBON,,"USD 12,000 - 18,000",N/A,57.2 x 57.2 cm.,United States,b. 1957,Contemporary Art,Modern Art
Ricky's Rice Queen,DONALD BAECHLER,"USD 1,638","USD 4,000 - 6,000",N/A,147.9 x 147.9 cm.,United States,1956-2022,Contemporary Art,Modern Art
Untitled,JOHN WESLEY,"USD 3,780","USD 2,000 - 3,000",N/A,14 x 25.4 cm.,Unknown,1928-2022,Contemporary Art,Modern Art
Pola Negri,RED GROOMS,"USD 1,134","USD 5,000 - 7,000",acrylic,N/A,Unknown,B. 1937,Contemporary Art,Modern Art
Rewire own coordinates 2,GERASIMOS FLORATOS,"USD 15,120","USD 7,000 - 10,000",acrylic,107.3 x 177.8 cm.,Unknown,B. 1986,Contemporary Art,Modern Art
Kill the Light,DAN COLEN,,"USD 30,000 - 50,000",N/A,271.1 x 217.2 cm.,Unknown,B. 1979,Contemporary Art,Modern Art
Salt,RALPH GOINGS,"USD 20,160","USD 20,000 - 30,000",oil on canvas,50.8 x 40.6 cm.,Unknown,1928-2016,Contemporary Art,Modern Art
Silence,JACK PIERSON,"USD 17,640","USD 20,000 - 30,000",N/A,139.7 x 292.1 cm.,Unknown,B. 1960,Contemporary Art,Modern Art
JCC Stutters Chex,HARMONY KORINE,"USD 25,200","USD 25,000 - 35,000",acrylic,259.1 x 214.6 cm.,Unknown,B. 1973,Contemporary Art,Modern Art
I see now that anyone could be Ronald McDonald,KELLEY WALKER,"USD 6,930","USD 8,000 - 12,000",acrylic,236.2 x 213.4 cm.,Unknown,B. 1969,Contemporary Art,Modern Art
Pastoral Symphony ,DAN COLEN,"USD 10,710","USD 10,000 - 15,000",N/A,76.2 x 60.3 cm.,Unknown,B. 1979,Contemporary Art,Modern Art
Andy Warhol and Sonny Liston fly on Braniff (When you got it-flaunt it); 180 degress of hue. ,KELLEY WALKER,,"USD 15,000 - 20,000",N/A,101.3 x 70.8 cm.,Unknown,B. 1969,Contemporary Art,Installation
Untitled ,KELLEY WALKER,"USD 6,930","USD 7,000 - 10,000",acrylic,73.7 x 122.6 cm.,Unknown,B. 1969,Contemporary Art,Modern Art
Resurrect the Life of a Scribe,RETNA,"USD 81,900","USD 20,000 - 30,000",acrylic,213.4 x 152.4 cm.,Unknown,B. 1979,Contemporary Art,Modern Art
Sunset Park ,JEFF ELROD,"USD 7,560","USD 10,000 - 15,000",N/A,213.4 x 161.3 cm.,Unknown,B. 1966,Contemporary Art,Modern Art
Cuddly Book,SYLVIE FLEURY,"USD 1,260","USD 1,500 - 2,000",N/A,N/A,Unknown,B. 1961,Contemporary Art,Modern Art
Envelopes,JEFF ELROD,"USD 2,520","USD 5,000 - 7,000",acrylic,91.4 x 91.4 cm.,Unknown,b. 1966,Contemporary Art,Modern Art
This Land is Your Land,SHEPARD FAIREY,"USD 22,680","USD 20,000 - 30,000",N/A,222.3 x 168.9 cm.,Unknown,B. 1970,Contemporary Art,Modern Art
I am flexible but this does not distract me from my final destination,THIERRY NOIR,"USD 12,600","USD 12,000 - 18,000",acrylic,149.9 x 120 cm.,Unknown,b. 1958,Contemporary Art,Modern Art
Mirror ,ROY LICHTENSTEIN,"USD 9,450","USD 4,000 - 6,000",N/A,25.4 x 18.4 cm.,Unknown,1923-1997,Contemporary Art,Modern Art
Cap,ALEX ISRAEL,,"USD 5,000 - 7,000",acrylic,N/A,Unknown,B. 1982,Contemporary Art,Modern Art
Formation I,JENNIFER STEINKAMP,,"USD 8,000 - 12,000",N/A,N/A,Unknown,B. 1958,Contemporary Art,Installation
ARNO,JENNY HOLZER,"USD 3,528","USD 3,000 - 5,000",N/A,N/A,Unknown,B. 1950,Contemporary Art,Modern Art
TRUISMS 1,JENNY HOLZER,"USD 5,292","USD 3,000 - 5,000",N/A,N/A,Unknown,B. 1950,Contemporary Art,Modern Art
Subway,LEANDRO ERLICH,"USD 35,280","USD 15,000 - 20,000",N/A,N/A,Unknown,B. 1973,Contemporary Art,Modern Art
Warren Buffett - Filthy Fiat,COLDIE,"USD 37,800","USD 30,000 - 40,000",mixed media,N/A,Unknown,B. 1982,Contemporary Art,Portrait
Pillar,JESSE DRAXLER,"USD 63,000","USD 30,000 - 40,000",acrylic,152.4 x 121.9 cm.,Unknown,B. 1982,Contemporary Art,Modern Art
Ringers #310,DMITRI CHERNIAK,"USD 37,800","USD 30,000 - 50,000",N/A,N/A,Unknown,B. 1988,Contemporary Art,Modern Art
Fidenza #94,TYLER HOBBS,"USD 88,200","USD 60,000 - 80,000",N/A,N/A,Unknown,B. 1987,Contemporary Art,Modern Art
Fidenza #799,TYLER HOBBS,"USD 107,100","USD 60,000 - 80,000",N/A,N/A,Unknown,B. 1987,Contemporary Art,Modern Art
Chromie Squiggle #3792,SNOWFRO,"USD 47,880","USD 25,000 - 35,000",N/A,N/A,Unknown,N/A,Contemporary Art,Modern Art
Chromie Squiggle #3434,SNOWFRO,"USD 30,240","USD 15,000 - 20,000",N/A,N/A,Unknown,N/A,Contemporary Art,Modern Art
Killing The Dead #1 - #4,BARNABY FURNAS,"USD 6,300","USD 7,000 - 10,000",watercolor,12.7 x 20.6 cm.,Unknown,B. 1973,Contemporary Art,Modern Art
The Storms,DAVID ALTMEJD,,"USD 15,000 - 20,000",N/A,179.1 x 153.7 cm.,Unknown,B. 1974,Contemporary Art,Modern Art
Untitled,ROXY PAINE,"USD 5,292","USD 4,000 - 6,000",acrylic,N/A,Unknown,b. 1966,Contemporary Art,Modern Art
"August 8, 1998, 9:30 am, Clear Again, Roche's Point, Middleton, County Cork, Ireland; August 10, 1998, 10:30 am, Roche's Point, Lighthouse, Middleton, County Cork, Ireland; July 25, 1998, 9:30 am, Roche's Point, County Cork, Ireland [Three Works]",BYRON KIM,,"USD 10,000 - 15,000",gouache,15.2 x 120.7 cm.,Unknown,B. 1961,Contemporary Art,Modern Art
09425282009 D,ROXY PAINE,"USD 5,040","USD 6,000 - 8,000",acrylic,46.4 x 33 cm.,Unknown,B. 1966,Contemporary Art,Modern Art
Untitled,CHIHO AOSHIMA,"USD 1,386","USD 1,500 - 2,000",N/A,N/A,Unknown,B. 1974,Contemporary Art,Modern Art
My Body is a Machine Gun,AARON CURRY,"USD 2,016","USD 7,000 - 10,000",N/A,N/A,Unknown,B. 1972,Contemporary Art,Modern Art
Sound of Heat,EMIL LUKAS,"USD 17,640","USD 6,000 - 8,000",N/A,N/A,Unknown,B. 1964,Contemporary Art,Modern Art
Kyoto Taxi,AYA TAKANO,,"USD 10,000 - 15,000",acrylic,91.4 x 73 cm.,Unknown,B. 1976,Contemporary Art,Modern Art
She eats a meal/ the cute things that are born and emerge from that,AYA TAKANO,"USD 2,520","USD 2,000 - 3,000",watercolor,20.3 x 20.3 cm.,Unknown,b. 1976,Contemporary Art,Modern Art
Untitled (Hands),JAUME PLENSA,,"USD 15,000 - 20,000",bronze,N/A,Spain,B. 1955,Contemporary Art,Modern Art
Studio Wall Drawing (Gates of Hell),KEITH TYSON,"USD 6,300","USD 7,000 - 10,000",gouache,152.4 x 121.3 cm.,Unknown,B. 1969,Contemporary Art,Modern Art
Composition (Cards),TARA DONOVAN,"USD 27,720","USD 6,000 - 8,000",N/A,N/A,Unknown,B. 1969,Contemporary Art,Modern Art
Broken Glass ,TARA DONOVAN,,"USD 7,000 - 10,000",N/A,130.8 x 106.7 cm.,Unknown,b. 1969,Contemporary Art,Modern Art
Delighted to Meet You,ROB PRUITT,"USD 18,900","USD 10,000 - 15,000",acrylic,221 x 170.2 cm.,Unknown,B. 1964,Contemporary Art,Modern Art
Aspen Jewel,JON KUHN,"USD 6,300","USD 8,000 - 12,000",acrylic,N/A,Unknown,B. 1949,Contemporary Art,Modern Art
4761,SYLVIE FLEURY,"USD 12,600","USD 10,000 - 15,000",N/A,90.2 x 90.2 cm.,Unknown,B. 1961,Contemporary Art,Modern Art
Balenciaga Bag,SYLVIE FLEURY,"USD 17,640","USD 2,000 - 3,000",bronze,N/A,Unknown,B. 1961,Contemporary Art,Modern Art
Untitled,THOMAS HELBIG,"USD 1,260","USD 4,000 - 6,000",N/A,124.5 x 114.9 cm.,Unknown,B. 1967,Contemporary Art,Modern Art
O.T.,THILO HEINZMANN,"USD 11,970","USD 10,000 - 15,000",N/A,N/A,Unknown,B. 1969,Contemporary Art,Modern Art
Black Cat,JOHN ARMLEDER,"USD 6,048",USD 500 - 700,N/A,N/A,Unknown,B. 1948,Contemporary Art,Modern Art
Ale Wife,TOMOO GOKITA,"USD 3,780","USD 7,000 - 10,000",gouache,60.6 x 50.2 cm.,Japan,B. 1969,Contemporary Art,Modern Art
Cilla,NEGYEM ADONOO,,"USD 3,000 - 5,000",acrylic,182.9 x 91.4 cm.,Unknown,B. 1987,Contemporary Art,Modern Art
Untitled (Ndebele Abstract) ,ESTHER MAHLANGU,"USD 8,190","USD 4,000 - 6,000",acrylic,60.3 x 80 cm.,Unknown,B. 1935,Contemporary Art,Abstract
Untitled,YUKULTJI NAPANGATI,"USD 15,120","USD 5,000 - 7,000",acrylic,106.4 x 91.4 cm.,Unknown,B. circa 1971,Contemporary Art,Modern Art
Baltimore Hotel,DANNY FOX,"USD 22,680","USD 8,000 - 12,000",acrylic,182.9 x 152.4 cm.,Unknown,B. 1986,Contemporary Art,Modern Art
One World Trade Center,ENOC PEREZ,"USD 5,292","USD 5,000 - 7,000",N/A,106.7 x 76.2 cm.,Unknown,B. 1967,Contemporary Art,Modern Art
In Rainbows,TREY ABDELLA,,"USD 25,000 - 35,000",oil on canvas,75.6 x 101 cm.,Unknown,B. 1994,Contemporary Art,Modern Art
(head 15),DJORDJE OZBOLT,"USD 4,788","USD 8,000 - 12,000",acrylic,152.4 x 121.8 cm.,Unknown,B. 1967,Contemporary Art,Modern Art
Blanket,KIM DORLAND,"USD 9,450","USD 7,000 - 10,000",N/A,152.7 x 121.9 cm.,Unknown,B. 1974,Contemporary Art,Modern Art
South Col,MICHAEL KAGAN,"USD 3,780","USD 10,000 - 15,000",N/A,45.7 x 35.6 cm.,United States,B.1980,Contemporary Art,Modern Art
Hillary Step,MICHAEL KAGAN,"USD 7,560","USD 10,000 - 15,000",N/A,45.7 x 35.6 cm.,United States,B.1980,Contemporary Art,Modern Art
Landscape Painting,KIM DORLAND,"USD 4,032","USD 6,000 - 8,000",N/A,76.2 x 61 cm.,Unknown,B. 1974,Contemporary Art,Landscape
Columbus Circle,MARK INNERST,"USD 13,860","USD 4,000 - 6,000",acrylic,N/A,Unknown,B. 1957,Contemporary Art,Modern Art
US Embassy Beijing,ENOC PEREZ,"USD 27,720","USD 20,000 - 30,000",oil on canvas,121.9 x 152.4 cm.,Unknown,B. 1967,Contemporary Art,Modern Art
Francis Patrick Kelly IV (December),RAFFI KALENDERIAN,"USD 6,930","USD 12,000 - 18,000",oil on canvas,248.9 x 178.1 cm.,Unknown,B.1981,Contemporary Art,Modern Art
Interlarken #1,JORDY KERWICK,"USD 8,820","USD 10,000 - 15,000",mixed media,74.9 x 60 cm.,Unknown,B. 1982,Contemporary Art,Modern Art
Erika in the Studio,RAFFI KALENDERIAN,"USD 6,930","USD 10,000 - 15,000",oil on canvas,152.4 x 121.9 cm.,Unknown,B.1981,Contemporary Art,Modern Art
Mute and Continue,FARIS MCREYNOLDS,"USD 1,260","USD 2,000 - 3,000",oil on canvas,193 x 157.5 cm.,Unknown,B. 1977,Contemporary Art,Modern Art
Louis (Ascending),RAFFI KALENDERIAN,"USD 1,638","USD 5,000 - 7,000",N/A,121.9 x 91.4 cm.,Unknown,B. 1981,Contemporary Art,Modern Art
