название,имя_художника,стоимость,примерная_оценка,материал,размер,страна,период,стиль,жанр
Round Mirror Distance,GABRIEL OROZCO,"USD 10,710","USD 3,000 - 5,000",N/A,40.6 x 50.8 cm.,Unknown,B. 1962,Contemporary Art,Modern Art
I am a breast,ILONA SZWARC,USD 378,"USD 1,500 - 2,000",N/A,52.7 x 65.4 cm.,Unknown,B. 1984,Contemporary Art,Modern Art
Untitled,GABRIEL OROZCO,"USD 1,008","USD 5,000 - 7,000",N/A,28.6 x 108 cm.,Unknown,B. 1962,Contemporary Art,Modern Art
Burn Time,SIMON STARLING,"USD 2,142","USD 6,000 - 8,000",N/A,78.7 x 101.6 cm.,Unknown,B. 1967,Contemporary Art,Modern Art
Haus Nr. 3 II,THOMAS RUFF,USD 756,"USD 1,000 - 2,000",N/A,26.7 x 40.5 cm.,Unknown,B. 1958,Contemporary Art,Modern Art
Bondages,NOBUYOSHI ARAKI,"USD 10,710","USD 6,000 - 8,000",N/A,149.9 x 120 cm.,Unknown,B. 1940,Contemporary Art,Modern Art
After the Storm,MIRANDA LICHTENSTEIN,USD 378,"USD 1,000 - 1,500",N/A,79.4 x 203.2 cm.,Unknown,B. 1969,Contemporary Art,Modern Art
Hobbies / Vices; House Party; Space Program [Three Works],DAVID KRAMER,USD 504,"USD 1,000 - 1,500",N/A,50.2 x 64.8 cm.,Unknown,B. 1963,Contemporary Art,Modern Art
Schoolgirls ,THANH BINH NGUYEN,"USD 3,024",USD 600 - 800,oil on canvas,80 x 95.3 cm.,Unknown,B. 1954,Contemporary Art,Modern Art
Drunken-Absolut Vodka,KIM JOON,"USD 1,260","USD 3,000 - 5,000",N/A,208.9 x 120 cm.,Unknown,B. 1966,Contemporary Art,Modern Art
Spiral Staircase,JAMES CASEBERE,"USD 5,292","USD 7,000 - 10,000",N/A,237.5 x 182.2 cm.,Unknown,B. 1953,Contemporary Art,Modern Art
