Название;Имя художника;Стоимость;Примерная оценка;Размер;Страна;Период;Стиль
Drinking Horse;XU BEIHONG;HKD 819,000;HKD 300,000 - 500,000;106 x 36.5 cm;CHINA;1895-1953;Traditional Chinese Art
Frogs under Lotus;DING YANYONG;HKD 75,600;HKD 30,000 - 50,000;140.1 x 69.8 cm;CHINA;1902-1978;Traditional Chinese Art
Landscape;HUANG JUNBI;HKD 23,940;HKD 20,000 - 30,000;65.6 x 33.2 cm;CHINA;1898-1991;Traditional Chinese Art
Plum Blossom;TAI JINGNONG;HKD 20,160;HKD 15,000 - 25,000;44.6 x 33.8 cm;CHINA;1903-1990;Traditional Chinese Art
Bamboo;CHEN CONGZHOU;HKD 21,420;HKD 15,000 - 25,000;100 x 22 cm;CHINA;1918-2000;Traditional Chinese Art
Spring in Lingnan / Peonies and Oriole;ZHAO SHIGUANG;HKD 10,710;HKD 12,000 - 18,000;53 x 84 cm;CHINA;1921-2005;Traditional Chinese Art
Five-character Poem in Running Script;QI GONG;HKD 378,000;HKD 60,000 - 80,000;70.1 x 140 cm;CHINA;1912-2005;Traditional Chinese Art
Five-character Calligraphic Couplet in Running Script;RAO ZONGYI;HKD 94,500;HKD 30,000 - 50,000;133.4 x 33.7 cm;CHINA;1917-2018;Traditional Chinese Art
Calligraphy in Running Script;ZHUANG YAN;HKD 5,292;HKD 15,000 - 25,000;85.4 x 27.2 cm;CHINA;1899-1980;Traditional Chinese Art
Calligraphy;LIU HAISU;HKD 12,600;HKD 15,000 - 25,000;88.6 x 59 cm;CHINA;1896-1994;Traditional Chinese Art
Calligraphy in Running Script;XIE ZHILIU;HKD 13,860;HKD 10,000 - 20,000;60.2 x 45.6 cm;CHINA;1910-1997;Traditional Chinese Art
Eight-character Calligraphic Couplet in Running Script;FENG GUIFEN;HKD 27,720;HKD 30,000 - 50,000;167.7 x 33.2 cm;CHINA;1809-1874;Traditional Chinese Art
Five-character Poem by Mi Fu in Running Script;CHEN LI;HKD 11,340;HKD 20,000 - 30,000;65.5 x 27 cm;CHINA;1810-1882;Traditional Chinese Art
Eight-character Calligraphic Couplet in Clerical Script;XIE GUOZHEN;HKD 11,970;HKD 15,000 - 25,000;106 x 24.3 cm;CHINA;1901-1982;Traditional Chinese Art
Seven-character Poem in Clerical Script;XIE GUOZHEN;HKD 6,300;HKD 12,000 - 18,000;41 x 26.5 cm;CHINA;1901-1982;Traditional Chinese Art
Calligraphy;WU ZIFU;HKD 16,380;HKD 15,000 - 25,000;27.1 x 106.5 cm;CHINA;1899-1979;Traditional Chinese Art
Calligraphic Couplets in Clerical Script;WU ZIFU;HKD 12,600;HKD 15,000 - 25,000;123 x 29.2 cm;CHINA;1899-1979;Traditional Chinese Art
Calligraphy in Running Script;ZHOU CEZONG;HKD 6,300;HKD 15,000 - 25,000;69.5 x 34 cm;CHINA;1898-1996;Traditional Chinese Art
Calligraphy;HUANG MIAOZI;HKD 11,340;HKD 15,000 - 25,000;70 x 35 cm;CHINA;1913-2012) / FENG QIYONG (1924-2017;Traditional Chinese Art
Poem by Huang Fusong in Running Script;SHI ZHECUN;HKD 17,640;HKD 12,000 - 18,000;73 x 26.7 cm;CHINA;1905-2003;Traditional Chinese Art
Calligraphy, Flower and Landscape Collection;ZHANG SHIZHAO;HKD 30,240;HKD 30,000 - 50,000;64.5 x 36 cm;CHINA;1746-1803;Traditional Chinese Art
Ink Lotus;PU RU;HKD 27,720;HKD 20,000 - 40,000;68.3 x 26.7 cm;CHINA;1896-1963;Traditional Chinese Art
Scholar under Pine;PU RU;HKD 47,880;HKD 40,000 - 60,000;83.5 x 27 cm;CHINA;1896-1963;Traditional Chinese Art
Scholar Admiring Scenery;PU RU;HKD 40,320;HKD 50,000 - 80,000;102.2 x 33.8 cm;CHINA;1896-1963;Traditional Chinese Art
Fishing on Boat;ZHANG DAQIAN;HKD 302,400;HKD 200,000 - 300,000;85 x 35 cm;CHINA;1899-1983;Traditional Chinese Art
Scholar Fishing in Snow;WU ZHENG;HKD 18,900;HKD 30,000 - 50,000;148 x 40.2 cm;CHINA;1876-1949;Traditional Chinese Art
Ink Bamboo;DONG SHOUPING;HKD 47,880;HKD 30,000 - 50,000;96 x 44.3 cm;CHINA;1904-1997;Traditional Chinese Art
The Joyful Reapers;HUANG ZHOU;HKD 504,000;HKD 120,000 - 220,000;92.5 x 38.3 cm;CHINA;1925-1997;Traditional Chinese Art
Cricket and Cabbage;QI BAISHI;HKD 176,400;HKD 80,000 - 120,000;31.2 x 32.2 cm;CHINA;1863-1957;Traditional Chinese Art
Flower / Two Shrimps;QI BAISHI;HKD 126,000;HKD 80,000 - 150,000;17.5 x 23 cm;CHINA;1863-1957;Traditional Chinese Art
Squirrel and Lychee;LOU SHIBAI;;HKD 20,000 - 30,000;96.3 x 40 cm;CHINA;1918-2010;Traditional Chinese Art
Shrimps;LOU SHIBAI;HKD 30,240;HKD 20,000 - 40,000;69.2 x 46.5 cm;CHINA;1918-2010;Traditional Chinese Art
Scholar Rock;CHEN XIAOLIAN;HKD 88,200;HKD 15,000 - 30,000;46.6 x 15.8 cm;CHINA;1634-CIRCA 1713;Traditional Chinese Art
Flowers, Landscapes and Calligraphy Collection;HUO CHUNYANG;;HKD 15,000 - 30,000;34.5 x 46 cm;CHINA;1923-2007;Traditional Chinese Art
Landscape, Animals, and Calligraphy Collection;LI YANSHENG;HKD 25,200;HKD 20,000 - 40,000;48.4 x 34.2 cm;CHINA;1914-1990;Traditional Chinese Art
Flower and Landscape Collection;HUANG DUFENG;;HKD 22,000 - 40,000;35 x 46.8 cm;CHINA;1913-1998;Traditional Chinese Art
Flower Collection;WANG DAOZHONG;;HKD 15,000 - 30,000;66.8 x 45 cm;CHINA;B.1931) / GUO YICONG (B.1931;Traditional Chinese Art
Flower Collection;BAI XUESHI;HKD 18,900;HKD 15,000 - 30,000;90 x 48.4 cm;CHINA;1915-1999;Traditional Chinese Art
Red Roses and Banana Leaves;CHEN SHIZENG;;HKD 20,000 - 40,000;133.5 x 41.4 cm;CHINA;1876-1923;Traditional Chinese Art
Seven-character Calligraphic Couplet in Running Script;WU ZHENG;;HKD 26,000 - 36,000;134 x 27.2 cm;CHINA;1876-1949;Traditional Chinese Art
Calligraphy ;SHEN WEI;HKD 27,720;HKD 50,000 - 80,000;133.8 x 27 cm;CHINA;1835-1935;Traditional Chinese Art
Seven-character Poem in Running Script;WU HUFAN;HKD 15,120;HKD 12,000 - 18,000;18.1 x 49.7 cm;CHINA;1894-1968;Traditional Chinese Art
Cat;YANG SHANSHEN;HKD 20,160;HKD 30,000 - 50,000;35.5 x 52 cm;CHINA;1913-2004;Traditional Chinese Art
Family;YANG SHANSHEN;HKD 75,600;HKD 60,000 - 80,000;81 x 150 cm;CHINA;1913-2004;Traditional Chinese Art
Flowers, Fruits, Figure and Landscape;DENG FEN;HKD 32,760;HKD 20,000 - 30,000;27 x 24 cm;CHINA;1894-1964;Traditional Chinese Art
Gibbon in Autumn / Calligraphy in Regular Script;PU RU;HKD 75,600;HKD 60,000 - 80,000;19 x 51 cm;CHINA;1877-1943;Traditional Chinese Art
Gathering at West Garden / Calligraphy in Regular Script;PU RU;HKD 126,000;HKD 30,000 - 50,000;19.5 x 49.5 cm;CHINA;1871-1963;Traditional Chinese Art
Folding Fans;WANG YACHEN;HKD 22,680;HKD 20,000 - 30,000;19 x 43.5 cm;CHINA;1858-1972;Traditional Chinese Art
Pine, Bamboo and Rock / Calligraphy in Running Script;WU HUFAN;HKD 163,800;HKD 30,000 - 50,000;19 x 42.5 cm;CHINA;1894-1968;Traditional Chinese Art
